timestamp,pv_power_kw,market_price_eur_per_mwh
2026-06-15T00:00:00+00:00,0,45
2026-06-15T01:00:00+00:00,0,42
2026-06-15T02:00:00+00:00,0,38
2026-06-15T03:00:00+00:00,0,35
2026-06-15T04:00:00+00:00,0,32
2026-06-15T05:00:00+00:00,0,30
2026-06-15T06:00:00+00:00,200,28
2026-06-15T07:00:00+00:00,800,30
2026-06-15T08:00:00+00:00,1800,35
2026-06-15T09:00:00+00:00,3200,40
2026-06-15T10:00:00+00:00,4500,45
2026-06-15T11:00:00+00:00,5200,50
2026-06-15T12:00:00+00:00,5800,55
2026-06-15T13:00:00+00:00,5600,50
2026-06-15T14:00:00+00:00,5000,45
2026-06-15T15:00:00+00:00,4000,48
2026-06-15T16:00:00+00:00,2600,60
2026-06-15T17:00:00+00:00,1200,80
2026-06-15T18:00:00+00:00,300,110
2026-06-15T19:00:00+00:00,0,140
2026-06-15T20:00:00+00:00,0,125
2026-06-15T21:00:00+00:00,0,90
2026-06-15T22:00:00+00:00,0,65
2026-06-15T23:00:00+00:00,0,50
