timestamp,pv_power_kw,market_price_eur_per_mwh
2026-03-01T00:00:00+00:00,0,40
2026-03-01T01:00:00+00:00,0,40
2026-03-01T02:00:00+00:00,0,37
2026-03-01T03:00:00+00:00,0,37
2026-03-01T04:00:00+00:00,0,36
2026-03-01T05:00:00+00:00,0,43
2026-03-01T06:00:00+00:00,0,49
2026-03-01T07:00:00+00:00,699,56
2026-03-01T08:00:00+00:00,1514,60
2026-03-01T09:00:00+00:00,2196,51
2026-03-01T10:00:00+00:00,2686,40
2026-03-01T11:00:00+00:00,2943,28
2026-03-01T12:00:00+00:00,2943,28
2026-03-01T13:00:00+00:00,2686,34
2026-03-01T14:00:00+00:00,2196,39
2026-03-01T15:00:00+00:00,1514,48
2026-03-01T16:00:00+00:00,699,60
2026-03-01T17:00:00+00:00,0,70
2026-03-01T18:00:00+00:00,0,75
2026-03-01T19:00:00+00:00,0,76
2026-03-01T20:00:00+00:00,0,65
2026-03-01T21:00:00+00:00,0,58
2026-03-01T22:00:00+00:00,0,52
2026-03-01T23:00:00+00:00,0,44
2026-03-02T00:00:00+00:00,0,42
2026-03-02T01:00:00+00:00,0,38
2026-03-02T02:00:00+00:00,0,39
2026-03-02T03:00:00+00:00,0,39
2026-03-02T04:00:00+00:00,0,37
2026-03-02T05:00:00+00:00,0,45
2026-03-02T06:00:00+00:00,0,49
2026-03-02T07:00:00+00:00,729,56
2026-03-02T08:00:00+00:00,1542,58
2026-03-02T09:00:00+00:00,2223,48
2026-03-02T10:00:00+00:00,2712,41
2026-03-02T11:00:00+00:00,2967,33
2026-03-02T12:00:00+00:00,2967,25
2026-03-02T13:00:00+00:00,2712,33
2026-03-02T14:00:00+00:00,2223,41
2026-03-02T15:00:00+00:00,1542,50
2026-03-02T16:00:00+00:00,729,65
2026-03-02T17:00:00+00:00,0,70
2026-03-02T18:00:00+00:00,0,80
2026-03-02T19:00:00+00:00,0,78
2026-03-02T20:00:00+00:00,0,67
2026-03-02T21:00:00+00:00,0,60
2026-03-02T22:00:00+00:00,0,51
2026-03-02T23:00:00+00:00,0,43
2026-03-03T00:00:00+00:00,0,44
2026-03-03T01:00:00+00:00,0,42
2026-03-03T02:00:00+00:00,0,36
2026-03-03T03:00:00+00:00,0,35
2026-03-03T04:00:00+00:00,0,39
2026-03-03T05:00:00+00:00,0,46
2026-03-03T06:00:00+00:00,0,49
2026-03-03T07:00:00+00:00,758,56
2026-03-03T08:00:00+00:00,1571,56
2026-03-03T09:00:00+00:00,2250,54
2026-03-03T10:00:00+00:00,2737,38
2026-03-03T11:00:00+00:00,2992,27
2026-03-03T12:00:00+00:00,2992,29
2026-03-03T13:00:00+00:00,2737,31
2026-03-03T14:00:00+00:00,2250,40
2026-03-03T15:00:00+00:00,1571,49
2026-03-03T16:00:00+00:00,758,63
2026-03-03T17:00:00+00:00,0,73
2026-03-03T18:00:00+00:00,0,76
2026-03-03T19:00:00+00:00,0,76
2026-03-03T20:00:00+00:00,0,66
2026-03-03T21:00:00+00:00,0,54
2026-03-03T22:00:00+00:00,0,51
2026-03-03T23:00:00+00:00,0,47
2026-03-04T00:00:00+00:00,0,43
2026-03-04T01:00:00+00:00,0,36
2026-03-04T02:00:00+00:00,0,39
2026-03-04T03:00:00+00:00,0,36
2026-03-04T04:00:00+00:00,0,37
2026-03-04T05:00:00+00:00,0,42
2026-03-04T06:00:00+00:00,0,52
2026-03-04T07:00:00+00:00,788,56
2026-03-04T08:00:00+00:00,1600,58
2026-03-04T09:00:00+00:00,2277,52
2026-03-04T10:00:00+00:00,2763,40
2026-03-04T11:00:00+00:00,3017,31
2026-03-04T12:00:00+00:00,3017,29
2026-03-04T13:00:00+00:00,2763,32
2026-03-04T14:00:00+00:00,2277,36
2026-03-04T15:00:00+00:00,1600,48
2026-03-04T16:00:00+00:00,788,63
2026-03-04T17:00:00+00:00,0,73
2026-03-04T18:00:00+00:00,0,74
2026-03-04T19:00:00+00:00,0,72
2026-03-04T20:00:00+00:00,0,66
2026-03-04T21:00:00+00:00,0,59
2026-03-04T22:00:00+00:00,0,47
2026-03-04T23:00:00+00:00,0,47
2026-03-05T00:00:00+00:00,0,42
2026-03-05T01:00:00+00:00,0,40
2026-03-05T02:00:00+00:00,0,34
2026-03-05T03:00:00+00:00,0,35
2026-03-05T04:00:00+00:00,0,41
2026-03-05T05:00:00+00:00,0,45
2026-03-05T06:00:00+00:00,0,55
2026-03-05T07:00:00+00:00,818,56
2026-03-05T08:00:00+00:00,1629,60
2026-03-05T09:00:00+00:00,2304,51
2026-03-05T10:00:00+00:00,2789,40
2026-03-05T11:00:00+00:00,3041,30
2026-03-05T12:00:00+00:00,3041,24
2026-03-05T13:00:00+00:00,2789,28
2026-03-05T14:00:00+00:00,2304,35
2026-03-05T15:00:00+00:00,1629,46
2026-03-05T16:00:00+00:00,818,62
2026-03-05T17:00:00+00:00,0,73
2026-03-05T18:00:00+00:00,0,76
2026-03-05T19:00:00+00:00,0,73
2026-03-05T20:00:00+00:00,0,67
2026-03-05T21:00:00+00:00,0,56
2026-03-05T22:00:00+00:00,0,46
2026-03-05T23:00:00+00:00,0,45
2026-03-06T00:00:00+00:00,0,43
2026-03-06T01:00:00+00:00,0,38
2026-03-06T02:00:00+00:00,0,35
2026-03-06T03:00:00+00:00,0,37
2026-03-06T04:00:00+00:00,0,41
2026-03-06T05:00:00+00:00,0,47
2026-03-06T06:00:00+00:00,0,49
2026-03-06T07:00:00+00:00,848,57
2026-03-06T08:00:00+00:00,1658,59
2026-03-06T09:00:00+00:00,2332,47
2026-03-06T10:00:00+00:00,2815,35
2026-03-06T11:00:00+00:00,3066,27
2026-03-06T12:00:00+00:00,3066,29
2026-03-06T13:00:00+00:00,2815,30
2026-03-06T14:00:00+00:00,2332,37
2026-03-06T15:00:00+00:00,1658,51
2026-03-06T16:00:00+00:00,848,57
2026-03-06T17:00:00+00:00,0,75
2026-03-06T18:00:00+00:00,0,77
2026-03-06T19:00:00+00:00,0,74
2026-03-06T20:00:00+00:00,0,67
2026-03-06T21:00:00+00:00,0,60
2026-03-06T22:00:00+00:00,0,49
2026-03-06T23:00:00+00:00,0,47
2026-03-07T00:00:00+00:00,0,45
2026-03-07T01:00:00+00:00,0,38
2026-03-07T02:00:00+00:00,0,36
2026-03-07T03:00:00+00:00,0,37
2026-03-07T04:00:00+00:00,0,41
2026-03-07T05:00:00+00:00,0,46
2026-03-07T06:00:00+00:00,0,52
2026-03-07T07:00:00+00:00,878,57
2026-03-07T08:00:00+00:00,1687,57
2026-03-07T09:00:00+00:00,2360,53
2026-03-07T10:00:00+00:00,2841,36
2026-03-07T11:00:00+00:00,3091,32
2026-03-07T12:00:00+00:00,3091,24
2026-03-07T13:00:00+00:00,2841,27
2026-03-07T14:00:00+00:00,2360,38
2026-03-07T15:00:00+00:00,1687,49
2026-03-07T16:00:00+00:00,878,57
2026-03-07T17:00:00+00:00,0,70
2026-03-07T18:00:00+00:00,0,75
2026-03-07T19:00:00+00:00,0,77
2026-03-07T20:00:00+00:00,0,66
2026-03-07T21:00:00+00:00,0,59
2026-03-07T22:00:00+00:00,0,52
2026-03-07T23:00:00+00:00,0,45
2026-03-08T00:00:00+00:00,0,39
2026-03-08T01:00:00+00:00,0,41
2026-03-08T02:00:00+00:00,0,38
2026-03-08T03:00:00+00:00,0,38
2026-03-08T04:00:00+00:00,0,37
2026-03-08T05:00:00+00:00,0,42
2026-03-08T06:00:00+00:00,28,54
2026-03-08T07:00:00+00:00,909,54
2026-03-08T08:00:00+00:00,1717,56
2026-03-08T09:00:00+00:00,2388,49
2026-03-08T10:00:00+00:00,2867,35
2026-03-08T11:00:00+00:00,3117,30
2026-03-08T12:00:00+00:00,3117,25
2026-03-08T13:00:00+00:00,2867,32
2026-03-08T14:00:00+00:00,2388,37
2026-03-08T15:00:00+00:00,1717,48
2026-03-08T16:00:00+00:00,909,58
2026-03-08T17:00:00+00:00,28,72
2026-03-08T18:00:00+00:00,0,77
2026-03-08T19:00:00+00:00,0,73
2026-03-08T20:00:00+00:00,0,67
2026-03-08T21:00:00+00:00,0,57
2026-03-08T22:00:00+00:00,0,48
2026-03-08T23:00:00+00:00,0,46
2026-03-09T00:00:00+00:00,0,40
2026-03-09T01:00:00+00:00,0,37
2026-03-09T02:00:00+00:00,0,39
2026-03-09T03:00:00+00:00,0,36
2026-03-09T04:00:00+00:00,0,36
2026-03-09T05:00:00+00:00,0,42
2026-03-09T06:00:00+00:00,58,52
2026-03-09T07:00:00+00:00,939,56
2026-03-09T08:00:00+00:00,1747,55
2026-03-09T09:00:00+00:00,2415,51
2026-03-09T10:00:00+00:00,2893,38
2026-03-09T11:00:00+00:00,3142,32
2026-03-09T12:00:00+00:00,3142,24
2026-03-09T13:00:00+00:00,2893,29
2026-03-09T14:00:00+00:00,2415,34
2026-03-09T15:00:00+00:00,1747,51
2026-03-09T16:00:00+00:00,939,60
2026-03-09T17:00:00+00:00,58,73
2026-03-09T18:00:00+00:00,0,77
2026-03-09T19:00:00+00:00,0,72
2026-03-09T20:00:00+00:00,0,66
2026-03-09T21:00:00+00:00,0,56
2026-03-09T22:00:00+00:00,0,50
2026-03-09T23:00:00+00:00,0,44
2026-03-10T00:00:00+00:00,0,43
2026-03-10T01:00:00+00:00,0,35
2026-03-10T02:00:00+00:00,0,37
2026-03-10T03:00:00+00:00,0,35
2026-03-10T04:00:00+00:00,0,40
2026-03-10T05:00:00+00:00,0,41
2026-03-10T06:00:00+00:00,88,54
2026-03-10T07:00:00+00:00,970,57
2026-03-10T08:00:00+00:00,1776,58
2026-03-10T09:00:00+00:00,2443,48
2026-03-10T10:00:00+00:00,2920,38
2026-03-10T11:00:00+00:00,3167,27
2026-03-10T12:00:00+00:00,3167,28
2026-03-10T13:00:00+00:00,2920,30
2026-03-10T14:00:00+00:00,2443,34
2026-03-10T15:00:00+00:00,1776,49
2026-03-10T16:00:00+00:00,970,61
2026-03-10T17:00:00+00:00,88,72
2026-03-10T18:00:00+00:00,0,79
2026-03-10T19:00:00+00:00,0,75
2026-03-10T20:00:00+00:00,0,65
2026-03-10T21:00:00+00:00,0,59
2026-03-10T22:00:00+00:00,0,50
2026-03-10T23:00:00+00:00,0,47
2026-03-11T00:00:00+00:00,0,42
